ORIGIN,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ICT,10186.0,12.513513513513514,244.0,0.29975429975429974,3107.0,3.8169533169533167,3000.0,3.6855036855036856,0.0,0.0,3835.0,4.711302211302211
SGF,9930.0,14.865269461077844,395.0,0.5913173652694611,3323.0,4.974550898203593,2906.0,4.350299401197605,20.0,0.029940119760479042,3286.0,4.919161676646707
GEG,9703.0,10.38865096359743,366.0,0.39186295503211993,3816.0,4.085653104925053,2589.0,2.771948608137045,0.0,0.0,2932.0,3.139186295503212
TUL,9643.0,6.848721590909091,64.0,0.045454545454545456,2801.0,1.9893465909090908,2196.0,1.5596590909090908,0.0,0.0,4582.0,3.2542613636363638
MDT,9559.0,19.1563126252505,407.0,0.8156312625250501,3767.0,7.5490981963927855,2339.0,4.687374749498998,5.0,0.01002004008016032,3041.0,6.094188376753507
CAK,9319.0,17.13051470588235,1298.0,2.386029411764706,3444.0,6.330882352941177,2697.0,4.957720588235294,21.0,0.03860294117647059,1859.0,3.417279411764706
BTR,9282.0,15.068181818181818,1815.0,2.9464285714285716,3545.0,5.75487012987013,1319.0,2.1412337662337664,0.0,0.0,2603.0,4.22564935064935
PWM,9082.0,12.322930800542741,494.0,0.6702849389416553,1915.0,2.598371777476255,2953.0,4.006784260515603,0.0,0.0,3720.0,5.047489823609227
SBA,8189.0,14.862068965517242,217.0,0.3938294010889292,1643.0,2.9818511796733214,3333.0,6.049001814882033,0.0,0.0,2996.0,5.437386569872959
EUG,7986.0,25.51437699680511,0.0,0.0,1019.0,3.2555910543130993,2964.0,9.46964856230032,0.0,0.0,4003.0,12.789137380191693
CHA,7975.0,10.4521625163827,457.0,0.598951507208388,3231.0,4.234600262123198,1431.0,1.875491480996068,0.0,0.0,2856.0,3.743119266055046
CHO,7939.0,16.927505330490405,138.0,0.2942430703624733,1776.0,3.786780383795309,2787.0,5.9424307036247335,0.0,0.0,3238.0,6.904051172707889
RAP,7880.0,29.62406015037594,1653.0,6.214285714285714,572.0,2.1503759398496243,641.0,2.4097744360902253,0.0,0.0,5014.0,18.849624060150376
LIT,7826.0,7.561352657004831,73.0,0.07053140096618357,2177.0,2.1033816425120775,1933.0,1.8676328502415458,0.0,0.0,3643.0,3.519806763285024
SBP,7714.0,18.768856447688563,261.0,0.635036496350365,2302.0,5.600973236009732,2043.0,4.970802919708029,0.0,0.0,3108.0,7.562043795620438
EYW,7691.0,14.269016697588127,153.0,0.28385899814471244,1041.0,1.9313543599257885,3226.0,5.9851576994434135,0.0,0.0,3271.0,6.0686456400742115
MYR,7442.0,13.033274956217163,68.0,0.1190893169877408,1789.0,3.1330998248686517,4064.0,7.117338003502627,0.0,0.0,1521.0,2.6637478108581436
SFB,7424.0,10.651362984218077,87.0,0.12482065997130559,2906.0,4.169296987087518,1353.0,1.9411764705882353,0.0,0.0,3078.0,4.416068866571019
ATW,7311.0,18.746153846153845,394.0,1.0102564102564102,2300.0,5.897435897435898,1190.0,3.051282051282051,0.0,0.0,3427.0,8.787179487179488
LIH,7177.0,6.317781690140845,299.0,0.2632042253521127,2950.0,2.596830985915493,546.0,0.48063380281690143,10.0,0.008802816901408451,3372.0,2.9683098591549295
GRB,7009.0,19.633053221288517,943.0,2.641456582633053,2305.0,6.456582633053221,1290.0,3.6134453781512605,0.0,0.0,2471.0,6.921568627450981
KOA,6830.0,5.710702341137123,8.0,0.006688963210702341,2178.0,1.8210702341137124,963.0,0.8051839464882943,21.0,0.017558528428093644,3660.0,3.060200668896321
PNS,6803.0,7.508830022075055,175.0,0.19315673289183222,1087.0,1.1997792494481236,2329.0,2.5706401766004414,32.0,0.03532008830022075,3180.0,3.5099337748344372
AZA,6366.0,14.022026431718063,308.0,0.6784140969162996,2085.0,4.592511013215859,2016.0,4.440528634361233,4.0,0.00881057268722467,1953.0,4.3017621145374445
PIA,6355.0,17.31607629427793,1219.0,3.321525885558583,1228.0,3.346049046321526,1409.0,3.8392370572207084,53.0,0.1444141689373297,2446.0,6.664850136239782
MAF,6258.0,8.679611650485437,152.0,0.21081830790568654,3233.0,4.484049930651873,1144.0,1.5866851595006934,0.0,0.0,1729.0,2.3980582524271843
JAN,6240.0,9.483282674772036,239.0,0.36322188449848025,2202.0,3.346504559270517,1066.0,1.6200607902735562,0.0,0.0,2733.0,4.1534954407294835
HSV,6081.0,8.540730337078651,33.0,0.046348314606741575,1371.0,1.925561797752809,1032.0,1.449438202247191,0.0,0.0,3645.0,5.11938202247191
HDN,5863.0,22.724806201550386,13.0,0.050387596899224806,2149.0,8.329457364341085,1054.0,4.0852713178294575,0.0,0.0,2647.0,10.25968992248062
ILM,5792.0,10.569343065693431,17.0,0.03102189781021898,2356.0,4.299270072992701,1667.0,3.041970802919708,0.0,0.0,1752.0,3.197080291970803
RST,5731.0,18.607142857142858,109.0,0.3538961038961039,1579.0,5.126623376623376,1421.0,4.613636363636363,0.0,0.0,2622.0,8.512987012987013
CRW,5626.0,16.644970414201183,1231.0,3.6420118343195265,1576.0,4.662721893491124,733.0,2.168639053254438,0.0,0.0,2086.0,6.171597633136095
MEI,5589.0,60.096774193548384,0.0,0.0,3391.0,36.46236559139785,153.0,1.6451612903225807,0.0,0.0,2045.0,21.989247311827956
ANC,5582.0,4.238420652999241,490.0,0.3720577069096431,2711.0,2.058466211085801,643.0,0.4882308276385725,0.0,0.0,1738.0,1.319665907365224
JMS,5524.0,65.76190476190476,911.0,10.845238095238095,1580.0,18.80952380952381,165.0,1.9642857142857142,0.0,0.0,2868.0,34.142857142857146
ABE,5440.0,16.047197640117993,348.0,1.0265486725663717,1881.0,5.548672566371682,1678.0,4.949852507374631,0.0,0.0,1533.0,4.522123893805309
BMI,5287.0,22.69098712446352,949.0,4.072961373390558,2748.0,11.793991416309012,435.0,1.8669527896995708,185.0,0.7939914163090128,970.0,4.163090128755365
LAN,5100.0,20.0,1218.0,4.776470588235294,1263.0,4.952941176470588,983.0,3.854901960784314,0.0,0.0,1636.0,6.415686274509804
