DEST,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
MFE,3731.0,9.122249388753056,130.0,0.31784841075794623,954.0,2.332518337408313,632.0,1.5452322738386308,0.0,0.0,2015.0,4.9266503667481665
COU,3541.0,18.835106382978722,498.0,2.648936170212766,861.0,4.579787234042553,678.0,3.606382978723404,0.0,0.0,1504.0,8.0
CMI,3537.0,17.33823529411765,422.0,2.0686274509803924,810.0,3.9705882352941178,701.0,3.4362745098039214,0.0,0.0,1604.0,7.862745098039215
MOB,3533.0,8.103211009174313,234.0,0.536697247706422,1428.0,3.2752293577981653,824.0,1.889908256880734,0.0,0.0,1047.0,2.4013761467889907
SWF,3532.0,29.680672268907564,190.0,1.596638655462185,2159.0,18.142857142857142,170.0,1.4285714285714286,63.0,0.5294117647058824,950.0,7.983193277310924
TTN,3515.0,17.230392156862745,0.0,0.0,743.0,3.642156862745098,605.0,2.965686274509804,0.0,0.0,2167.0,10.622549019607844
BGR,3469.0,18.067708333333332,97.0,0.5052083333333334,538.0,2.8020833333333335,502.0,2.6145833333333335,7.0,0.036458333333333336,2325.0,12.109375
TLH,3445.0,7.002032520325203,21.0,0.042682926829268296,1404.0,2.8536585365853657,714.0,1.451219512195122,0.0,0.0,1306.0,2.654471544715447
HDN,3357.0,13.011627906976743,0.0,0.0,1291.0,5.003875968992248,673.0,2.608527131782946,0.0,0.0,1393.0,5.39922480620155
MBS,3302.0,17.197916666666668,701.0,3.6510416666666665,994.0,5.177083333333333,430.0,2.2395833333333335,0.0,0.0,1177.0,6.130208333333333
DLH,3226.0,17.92222222222222,1255.0,6.972222222222222,449.0,2.4944444444444445,232.0,1.288888888888889,0.0,0.0,1290.0,7.166666666666667
JMS,3139.0,37.36904761904762,1311.0,15.607142857142858,1375.0,16.36904761904762,152.0,1.8095238095238095,0.0,0.0,301.0,3.5833333333333335
CRW,3103.0,9.15339233038348,166.0,0.4896755162241888,1055.0,3.112094395280236,326.0,0.9616519174041298,0.0,0.0,1556.0,4.589970501474927
MHK,3060.0,22.014388489208635,18.0,0.12949640287769784,1580.0,11.366906474820144,503.0,3.618705035971223,0.0,0.0,959.0,6.899280575539568
MGM,3057.0,10.36271186440678,120.0,0.4067796610169492,1627.0,5.5152542372881355,159.0,0.5389830508474577,34.0,0.1152542372881356,1117.0,3.7864406779661017
MEI,3031.0,32.59139784946237,250.0,2.6881720430107525,589.0,6.333333333333333,316.0,3.3978494623655915,0.0,0.0,1876.0,20.172043010752688
BFL,3027.0,16.910614525139664,0.0,0.0,1804.0,10.078212290502794,107.0,0.5977653631284916,0.0,0.0,1116.0,6.23463687150838
MQT,2952.0,31.741935483870968,1844.0,19.827956989247312,333.0,3.5806451612903225,372.0,4.0,0.0,0.0,403.0,4.333333333333333
BQN,2923.0,14.98974358974359,0.0,0.0,775.0,3.9743589743589745,413.0,2.117948717948718,0.0,0.0,1735.0,8.897435897435898
BLI,2850.0,15.159574468085106,20.0,0.10638297872340426,1075.0,5.718085106382978,638.0,3.393617021276596,0.0,0.0,1117.0,5.941489361702128
ACY,2774.0,9.308724832214764,52.0,0.174496644295302,224.0,0.7516778523489933,1095.0,3.674496644295302,39.0,0.13087248322147652,1364.0,4.577181208053691
DVL,2758.0,52.0377358490566,911.0,17.18867924528302,747.0,14.09433962264151,110.0,2.0754716981132075,0.0,0.0,990.0,18.67924528301887
GPT,2658.0,7.342541436464089,139.0,0.3839779005524862,1106.0,3.0552486187845305,458.0,1.2651933701657458,30.0,0.08287292817679558,925.0,2.5552486187845305
GNV,2571.0,7.201680672268908,28.0,0.0784313725490196,1595.0,4.4677871148459385,358.0,1.0028011204481793,0.0,0.0,590.0,1.6526610644257702
HRL,2527.0,7.657575757575757,152.0,0.46060606060606063,903.0,2.7363636363636363,352.0,1.0666666666666667,0.0,0.0,1120.0,3.393939393939394
DRO,2499.0,10.456066945606695,88.0,0.3682008368200837,1389.0,5.811715481171548,302.0,1.2635983263598327,15.0,0.06276150627615062,705.0,2.9497907949790796
CRP,2480.0,5.610859728506787,49.0,0.11085972850678733,990.0,2.239819004524887,455.0,1.0294117647058822,0.0,0.0,986.0,2.230769230769231
BIL,2464.0,9.404580152671755,310.0,1.183206106870229,1014.0,3.8702290076335877,496.0,1.8931297709923665,0.0,0.0,644.0,2.4580152671755724
MTJ,2460.0,11.60377358490566,31.0,0.14622641509433962,785.0,3.702830188679245,1038.0,4.89622641509434,0.0,0.0,606.0,2.858490566037736
SLN,2448.0,30.22222222222222,206.0,2.54320987654321,967.0,11.938271604938272,625.0,7.716049382716049,0.0,0.0,650.0,8.024691358024691
HYS,2446.0,22.85981308411215,304.0,2.8411214953271027,1178.0,11.009345794392523,300.0,2.803738317757009,0.0,0.0,664.0,6.205607476635514
PBG,2440.0,21.785714285714285,0.0,0.0,1319.0,11.776785714285714,252.0,2.25,0.0,0.0,869.0,7.758928571428571
JNU,2409.0,7.5046728971962615,305.0,0.9501557632398754,967.0,3.012461059190031,503.0,1.5669781931464175,0.0,0.0,634.0,1.9750778816199377
PIB,2390.0,38.54838709677419,0.0,0.0,690.0,11.129032258064516,95.0,1.532258064516129,0.0,0.0,1605.0,25.887096774193548
PAH,2369.0,22.349056603773583,7.0,0.0660377358490566,715.0,6.745283018867925,357.0,3.3679245283018866,0.0,0.0,1290.0,12.169811320754716
MOT,2366.0,16.545454545454547,77.0,0.5384615384615384,1687.0,11.797202797202797,281.0,1.965034965034965,0.0,0.0,321.0,2.2447552447552446
BRD,2362.0,43.74074074074074,2133.0,39.5,156.0,2.888888888888889,7.0,0.12962962962962962,0.0,0.0,66.0,1.2222222222222223
JLN,2310.0,37.25806451612903,0.0,0.0,1733.0,27.951612903225808,93.0,1.5,0.0,0.0,484.0,7.806451612903226
BRO,2288.0,12.105820105820106,1.0,0.005291005291005291,1328.0,7.026455026455026,222.0,1.1746031746031746,0.0,0.0,737.0,3.8994708994708995
