DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Roanoke, VA",32286.0,11.179362880886426,2379.0,0.8237534626038782,12709.0,4.400623268698061,4457.0,1.5432825484764543,37.0,0.012811634349030472,12704.0,4.3988919667590025
"Plattsburgh, NY",32279.0,23.73455882352941,2055.0,1.5110294117647058,16993.0,12.49485294117647,3670.0,2.698529411764706,0.0,0.0,9561.0,7.0301470588235295
"Laredo, TX",31487.0,11.775243081525804,1360.0,0.5086013462976814,14632.0,5.4719521316379955,5071.0,1.8964098728496634,0.0,0.0,10424.0,3.8982797307404637
"Lincoln, NE",31253.0,14.12884267631103,2903.0,1.312386980108499,11234.0,5.078661844484629,4770.0,2.1564195298372515,52.0,0.023508137432188065,12294.0,5.557866184448463
"Springfield, IL",30603.0,17.020578420467185,2375.0,1.3209121245828699,12555.0,6.982758620689655,4383.0,2.4377085650723025,40.0,0.02224694104560623,11250.0,6.256952169076752
"Bristol/Johnson City/Kingsport, TN",30282.0,10.24771573604061,4219.0,1.4277495769881556,11318.0,3.830118443316413,2534.0,0.8575296108291032,27.0,0.009137055837563452,12184.0,4.123181049069374
"Brownsville, TX",29277.0,10.811299852289512,2785.0,1.0284342688330872,10332.0,3.8153618906942395,4879.0,1.801698670605613,0.0,0.0,11281.0,4.165805022156573
"Fairbanks, AK",28943.0,6.126799322607959,1492.0,0.31583403895004236,11610.0,2.4576629974597797,5601.0,1.1856477561388654,32.0,0.006773920406435224,10208.0,2.160880609652837
"State College, PA",28891.0,16.050555555555555,4158.0,2.31,10485.0,5.825,3394.0,1.8855555555555557,0.0,0.0,10854.0,6.03
"New Bern/Morehead/Beaufort, NC",28352.0,12.018651971174226,2628.0,1.1140313692242476,8811.0,3.73505722763883,3860.0,1.636286562102586,0.0,0.0,13053.0,5.533276812208563
"Hays, KS",28083.0,22.4484412470024,1127.0,0.9008792965627498,15121.0,12.087130295763389,2654.0,2.1215027977617904,15.0,0.011990407673860911,9166.0,7.3269384492406076
"Juneau, AK",27994.0,6.200221483942414,1182.0,0.26179401993355483,11436.0,2.532890365448505,4599.0,1.0186046511627906,155.0,0.03433001107419712,10622.0,2.3526024363233664
"Minot, ND",27424.0,11.99650043744532,3458.0,1.5126859142607174,12485.0,5.461504811898513,3477.0,1.520997375328084,45.0,0.01968503937007874,7959.0,3.4816272965879267
"La Crosse, WI",27309.0,12.418826739427013,3016.0,1.3715325147794453,10182.0,4.6302864938608455,4618.0,2.100045475216007,61.0,0.02773988176443838,9432.0,4.289222373806275
"Daytona Beach, FL",27272.0,8.2392749244713,1917.0,0.5791540785498489,9392.0,2.837462235649547,3786.0,1.1438066465256798,54.0,0.016314199395770394,12123.0,3.662537764350453
"Paducah, KY",26554.0,20.489197530864196,839.0,0.6473765432098766,13484.0,10.404320987654321,2074.0,1.6003086419753085,0.0,0.0,10157.0,7.8371913580246915
"Newport News/Williamsburg, VA",26411.0,10.51393312101911,1873.0,0.7456210191082803,7046.0,2.804936305732484,4199.0,1.671576433121019,7.0,0.002786624203821656,13286.0,5.289012738853503
