ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Bethel, AK",6304.0,7.62273276904474,66.0,0.07980652962515115,746.0,0.9020556227327691,667.0,0.8065296251511487,997.0,1.2055622732769045,3828.0,4.628778718258767
"Wrangell, AK",6093.0,8.415745856353592,221.0,0.3052486187845304,924.0,1.276243093922652,880.0,1.2154696132596685,0.0,0.0,4068.0,5.6187845303867405
"Hibbing, MN",6059.0,9.678913738019169,1429.0,2.2827476038338657,1565.0,2.5,1050.0,1.6773162939297124,0.0,0.0,2015.0,3.218849840255591
"Petersburg, AK",5739.0,7.926795580110498,68.0,0.09392265193370165,372.0,0.5138121546961326,900.0,1.2430939226519337,0.0,0.0,4399.0,6.0759668508287294
"Lynchburg, VA",5482.0,5.991256830601093,64.0,0.06994535519125683,2435.0,2.66120218579235,829.0,0.9060109289617486,5.0,0.00546448087431694,2149.0,2.3486338797814206
"Cody, WY",5411.0,11.997782705099779,91.0,0.2017738359201774,1186.0,2.6297117516629713,590.0,1.3082039911308203,4.0,0.008869179600886918,3540.0,7.849223946784923
"Cordova, AK",5145.0,7.126038781163435,2.0,0.002770083102493075,363.0,0.502770083102493,808.0,1.1191135734072022,115.0,0.1592797783933518,3857.0,5.342105263157895
"Elko, NV",4969.0,7.350591715976331,971.0,1.4363905325443787,2865.0,4.238165680473373,173.0,0.2559171597633136,0.0,0.0,960.0,1.4201183431952662
"Yakutat, AK",4818.0,6.673130193905817,169.0,0.23407202216066483,990.0,1.371191135734072,540.0,0.7479224376731302,27.0,0.037396121883656507,3092.0,4.282548476454294
"Hagerstown, MD",4796.0,26.207650273224044,394.0,2.1530054644808745,1472.0,8.043715846994536,371.0,2.0273224043715845,61.0,0.3333333333333333,2498.0,13.650273224043715
"West Yellowstone, MT",4683.0,17.738636363636363,82.0,0.3106060606060606,2194.0,8.31060606060606,22.0,0.08333333333333333,0.0,0.0,2385.0,9.034090909090908
"Gunnison, CO",4377.0,18.2375,569.0,2.370833333333333,867.0,3.6125,515.0,2.1458333333333335,0.0,0.0,2426.0,10.108333333333333
"Kotzebue, AK",3942.0,5.475,255.0,0.3541666666666667,579.0,0.8041666666666667,464.0,0.6444444444444445,0.0,0.0,2644.0,3.672222222222222
"Branson, MO",3879.0,16.792207792207794,0.0,0.0,458.0,1.9826839826839826,1647.0,7.12987012987013,0.0,0.0,1774.0,7.67965367965368
"Kodiak, AK",3796.0,5.921996879875195,128.0,0.1996879875195008,885.0,1.3806552262090483,424.0,0.6614664586583463,72.0,0.11232449297971919,2287.0,3.56786271450858
"Deadhorse, AK",3781.0,3.826923076923077,109.0,0.11032388663967611,158.0,0.15991902834008098,497.0,0.5030364372469636,15.0,0.015182186234817813,3002.0,3.0384615384615383
"Guam, TT",3608.0,4.300357568533969,139.0,0.16567342073897498,1994.0,2.3766388557806915,654.0,0.7794994040524433,0.0,0.0,821.0,0.9785458879618594
"Watertown, NY",3415.0,13.938775510204081,310.0,1.2653061224489797,1232.0,5.0285714285714285,378.0,1.542857142857143,16.0,0.0653061224489796,1479.0,6.036734693877551
"Saipan, TT",3334.0,7.04862579281184,13.0,0.02748414376321353,1766.0,3.733615221987315,224.0,0.47357293868921774,0.0,0.0,1331.0,2.813953488372093
"St. Cloud, MN",2937.0,21.595588235294116,301.0,2.213235294117647,1654.0,12.161764705882353,202.0,1.4852941176470589,22.0,0.16176470588235295,758.0,5.573529411764706
"Hyannis, MA",2583.0,31.120481927710845,0.0,0.0,442.0,5.325301204819277,917.0,11.048192771084338,0.0,0.0,1224.0,14.74698795180723
"Pago Pago, TT",2443.0,20.358333333333334,1138.0,9.483333333333333,586.0,4.883333333333334,0.0,0.0,142.0,1.1833333333333333,577.0,4.808333333333334
