ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Raleigh/Durham, NC -> Kansas City, MO",2071.0,6.314024390243903,306.0,0.9329268292682927,530.0,1.6158536585365855,130.0,0.39634146341463417,0.0,0.0,1105.0,3.3689024390243905
"Montrose/Delta, CO -> Phoenix, AZ",2069.0,11.494444444444444,2.0,0.011111111111111112,720.0,4.0,198.0,1.1,0.0,0.0,1149.0,6.383333333333334
"Boise, ID -> Sacramento, CA",2068.0,5.031630170316301,0.0,0.0,649.0,1.5790754257907542,106.0,0.25790754257907544,0.0,0.0,1313.0,3.1946472019464722
"Chicago, IL -> Billings, MT",2067.0,28.315068493150687,0.0,0.0,804.0,11.013698630136986,210.0,2.8767123287671232,0.0,0.0,1053.0,14.424657534246576
"Punta Gorda, FL -> Lexington, KY",2058.0,10.946808510638299,448.0,2.382978723404255,404.0,2.148936170212766,234.0,1.2446808510638299,0.0,0.0,972.0,5.170212765957447
"Sanford, FL -> Bangor, ME",2058.0,9.228699551569507,28.0,0.12556053811659193,879.0,3.9417040358744395,547.0,2.4529147982062782,0.0,0.0,604.0,2.708520179372197
"Los Angeles, CA -> Hilo, HI",2053.0,7.22887323943662,0.0,0.0,480.0,1.6901408450704225,543.0,1.9119718309859155,0.0,0.0,1030.0,3.6267605633802815
"San Francisco, CA -> Madison, WI",2053.0,5.171284634760705,0.0,0.0,864.0,2.1763224181360203,819.0,2.0629722921914357,0.0,0.0,370.0,0.9319899244332494
"Kansas City, MO -> Raleigh/Durham, NC",2052.0,6.275229357798165,99.0,0.30275229357798167,688.0,2.1039755351681957,146.0,0.44648318042813456,0.0,0.0,1119.0,3.4220183486238533
"Key West, FL -> Washington, DC",2050.0,8.991228070175438,160.0,0.7017543859649122,434.0,1.9035087719298245,485.0,2.1271929824561404,0.0,0.0,971.0,4.258771929824562
"Dallas/Fort Worth, TX -> Santa Rosa, CA",2047.0,9.88888888888889,64.0,0.30917874396135264,389.0,1.8792270531400965,1072.0,5.178743961352657,0.0,0.0,522.0,2.5217391304347827
"Sioux Falls, SD -> Las Vegas, NV",2045.0,10.328282828282829,250.0,1.2626262626262625,335.0,1.6919191919191918,780.0,3.9393939393939394,0.0,0.0,680.0,3.4343434343434343
"Deadhorse, AK -> Barrow, AK",2042.0,2.808803301237964,100.0,0.1375515818431912,158.0,0.2173314993122421,345.0,0.47455295735900965,3.0,0.0041265474552957355,1436.0,1.9752407152682256
"Milwaukee, WI -> Fort Lauderdale, FL",2040.0,11.147540983606557,47.0,0.2568306010928962,461.0,2.519125683060109,434.0,2.371584699453552,14.0,0.07650273224043716,1084.0,5.923497267759563
"Niagara Falls, NY -> Punta Gorda, FL",2040.0,10.680628272251308,229.0,1.198952879581152,781.0,4.0890052356020945,533.0,2.7905759162303663,0.0,0.0,497.0,2.602094240837696
"Fayetteville, AR -> Valparaiso, FL",2037.0,14.654676258992806,96.0,0.6906474820143885,304.0,2.1870503597122304,177.0,1.2733812949640289,0.0,0.0,1460.0,10.503597122302159
"Bloomington/Normal, IL -> Orlando, FL",2036.0,14.041379310344828,172.0,1.186206896551724,666.0,4.593103448275862,232.0,1.6,0.0,0.0,966.0,6.662068965517242
"San Francisco, CA -> Columbus, OH",2036.0,10.715789473684211,0.0,0.0,560.0,2.9473684210526314,479.0,2.5210526315789474,0.0,0.0,997.0,5.247368421052632
"Raleigh/Durham, NC -> Sanford, FL",2029.0,24.154761904761905,52.0,0.6190476190476191,568.0,6.761904761904762,156.0,1.8571428571428572,0.0,0.0,1253.0,14.916666666666666
"Myrtle Beach, SC -> Columbus, OH",2028.0,9.657142857142857,120.0,0.5714285714285714,1271.0,6.052380952380952,148.0,0.7047619047619048,0.0,0.0,489.0,2.3285714285714287
"Houston, TX -> Bozeman, MT",2026.0,14.167832167832168,127.0,0.8881118881118881,1010.0,7.062937062937063,287.0,2.006993006993007,15.0,0.1048951048951049,587.0,4.104895104895105
