ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
OAJ,30412.0,10.600209132101778,0.0,602.0,1633.0,0.5691878703380969,0.0,198.0,10477.0,3.651795050540258,0.0,602.0,3288.0,1.1460439177413733,0.0,123.0,3.0,0.0010456605088881143,0.0,3.0,15011.0,5.232136632973162,0.0,361.0
FCA,30241.0,9.950970714050674,0.0,1126.0,1970.0,0.6482395524843698,0.0,513.0,9116.0,2.9996709443896017,0.0,1117.0,10078.0,3.3162224415926294,0.0,1057.0,0.0,0.0,0.0,0.0,9077.0,2.986837775584074,0.0,375.0
JMS,30237.0,30.573306370070778,0.0,1171.0,1846.0,1.8665318503538928,0.0,882.0,12117.0,12.251769464105157,0.0,1045.0,1716.0,1.7350859453993934,0.0,166.0,4.0,0.004044489383215369,0.0,4.0,14554.0,14.715874620829121,0.0,794.0
RDD,29986.0,21.557153127246586,0.0,1631.0,985.0,0.7081236520488857,0.0,723.0,10433.0,7.500359453630482,0.0,1628.0,10069.0,7.238677210639827,0.0,297.0,0.0,0.0,0.0,0.0,8499.0,6.10999281092739,0.0,285.0
PAH,29824.0,23.03011583011583,0.0,1073.0,1590.0,1.2277992277992278,0.0,960.0,7533.0,5.816988416988417,0.0,1073.0,5576.0,4.305791505791506,0.0,941.0,0.0,0.0,0.0,0.0,15125.0,11.67953667953668,0.0,738.0
ABI,29773.0,13.10431338028169,0.0,985.0,5442.0,2.3952464788732395,0.0,592.0,9828.0,4.325704225352113,0.0,982.0,3990.0,1.756161971830986,0.0,327.0,28.0,0.01232394366197183,0.0,23.0,10485.0,4.61487676056338,0.0,585.0
SAF,29636.0,16.482758620689655,0.0,1028.0,2540.0,1.4126807563959956,0.0,945.0,12761.0,7.097330367074528,0.0,923.0,4596.0,2.5561735261401557,0.0,199.0,15.0,0.008342602892102336,0.0,15.0,9724.0,5.4082313681868746,0.0,289.0
BFL,29366.0,11.893884163629,0.0,1242.0,973.0,0.3940866747671122,0.0,688.0,15158.0,6.139327663021466,0.0,1227.0,4080.0,1.6524908869987849,0.0,247.0,0.0,0.0,0.0,0.0,9155.0,3.707978938841636,0.0,404.0
AZO,29157.0,13.016517857142857,0.0,1105.0,2061.0,0.9200892857142857,0.0,233.0,8851.0,3.9513392857142855,0.0,1105.0,5348.0,2.3875,0.0,239.0,25.0,0.011160714285714286,0.0,19.0,12872.0,5.746428571428571,0.0,349.0
TOL,29012.0,13.848210023866349,0.0,935.0,1840.0,0.8782816229116945,0.0,249.0,10691.0,5.103102625298329,0.0,931.0,5484.0,2.6176610978520287,0.0,232.0,8.0,0.0038186157517899762,0.0,8.0,10989.0,5.245346062052506,0.0,664.0
