ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Charlotte, NC->Fayetteville, NC",715.0,5.813008130081301,0.0,0.0,278.0,2.2601626016260163,96.0,0.7804878048780488,0.0,0.0,341.0,2.772357723577236
"Charlotte, NC->Austin, TX",714.0,5.666666666666667,0.0,0.0,179.0,1.4206349206349207,234.0,1.8571428571428572,0.0,0.0,301.0,2.388888888888889
"Denver, CO->Jackson, WY",713.0,11.5,156.0,2.5161290322580645,270.0,4.354838709677419,129.0,2.0806451612903225,0.0,0.0,158.0,2.5483870967741935
"Akron, OH->Houston, TX",713.0,23.0,211.0,6.806451612903226,160.0,5.161290322580645,342.0,11.03225806451613,0.0,0.0,0.0,0.0
"St. Louis, MO->Tulsa, OK",712.0,12.275862068965518,34.0,0.5862068965517241,223.0,3.8448275862068964,42.0,0.7241379310344828,0.0,0.0,413.0,7.120689655172414
"Ontario, CA->Salt Lake City, UT",711.0,8.267441860465116,0.0,0.0,3.0,0.03488372093023256,40.0,0.46511627906976744,0.0,0.0,668.0,7.767441860465116
"San Francisco, CA->Eagle, CO",711.0,22.93548387096774,90.0,2.903225806451613,87.0,2.806451612903226,335.0,10.806451612903226,0.0,0.0,199.0,6.419354838709677
"Jackson/Vicksburg, MS->Washington, DC",711.0,22.93548387096774,73.0,2.3548387096774195,608.0,19.612903225806452,30.0,0.967741935483871,0.0,0.0,0.0,0.0
"Washington, DC->Staunton, VA",708.0,22.838709677419356,0.0,0.0,317.0,10.225806451612904,38.0,1.2258064516129032,0.0,0.0,353.0,11.387096774193548
"Birmingham, AL->Washington, DC",708.0,8.74074074074074,112.0,1.382716049382716,173.0,2.1358024691358026,150.0,1.8518518518518519,0.0,0.0,273.0,3.3703703703703702
"Butte, MT->Salt Lake City, UT",707.0,12.189655172413794,405.0,6.982758620689655,162.0,2.793103448275862,5.0,0.08620689655172414,0.0,0.0,135.0,2.3275862068965516
"Boise, ID->Seattle, WA",707.0,3.228310502283105,0.0,0.0,96.0,0.4383561643835616,238.0,1.08675799086758,0.0,0.0,373.0,1.7031963470319635
"Detroit, MI->Escanaba, MI",707.0,13.092592592592593,338.0,6.2592592592592595,119.0,2.2037037037037037,146.0,2.7037037037037037,0.0,0.0,104.0,1.9259259259259258
"Rochester, MN->Minneapolis, MN",707.0,6.931372549019608,9.0,0.08823529411764706,80.0,0.7843137254901961,177.0,1.7352941176470589,0.0,0.0,441.0,4.323529411764706
"Philadelphia, PA->Hartford, CT",707.0,5.9411764705882355,12.0,0.10084033613445378,285.0,2.3949579831932772,223.0,1.8739495798319328,0.0,0.0,187.0,1.5714285714285714
"San Francisco, CA->Indianapolis, IN",706.0,19.08108108108108,0.0,0.0,148.0,4.0,215.0,5.8108108108108105,0.0,0.0,343.0,9.27027027027027
"Houston, TX->Tampa, FL",706.0,2.586080586080586,0.0,0.0,251.0,0.9194139194139194,86.0,0.315018315018315,0.0,0.0,369.0,1.3516483516483517
"Minneapolis, MN->Milwaukee, WI",706.0,4.385093167701863,101.0,0.6273291925465838,237.0,1.4720496894409938,107.0,0.6645962732919255,0.0,0.0,261.0,1.6211180124223603
"San Antonio, TX->Dallas, TX",705.0,2.4310344827586206,0.0,0.0,115.0,0.39655172413793105,42.0,0.14482758620689656,7.0,0.02413793103448276,541.0,1.8655172413793104
"Dallas, TX->St. Louis, MO",704.0,3.977401129943503,0.0,0.0,244.0,1.3785310734463276,5.0,0.02824858757062147,0.0,0.0,455.0,2.5706214689265536
"Columbus, OH->Orlando, FL",704.0,4.855172413793103,0.0,0.0,165.0,1.1379310344827587,365.0,2.5172413793103448,0.0,0.0,174.0,1.2
"Minneapolis, MN->Portland, OR",703.0,6.166666666666667,0.0,0.0,418.0,3.6666666666666665,66.0,0.5789473684210527,0.0,0.0,219.0,1.9210526315789473
"Atlanta, GA->Buffalo, NY",702.0,6.0,102.0,0.8717948717948718,450.0,3.8461538461538463,120.0,1.0256410256410255,0.0,0.0,30.0,0.2564102564102564
"Tampa, FL->Columbus, OH",702.0,7.630434782608695,0.0,0.0,240.0,2.608695652173913,109.0,1.184782608695652,0.0,0.0,353.0,3.8369565217391304
"Memphis, TN->Phoenix, AZ",702.0,11.32258064516129,0.0,0.0,233.0,3.7580645161290325,86.0,1.3870967741935485,0.0,0.0,383.0,6.17741935483871
"Baltimore, MD->Norfolk, VA",701.0,6.149122807017544,18.0,0.15789473684210525,405.0,3.5526315789473686,12.0,0.10526315789473684,0.0,0.0,266.0,2.3333333333333335
"Charleston, SC->Boston, MA",700.0,20.58823529411765,0.0,0.0,83.0,2.4411764705882355,392.0,11.529411764705882,4.0,0.11764705882352941,221.0,6.5
"Hilo, HI->Honolulu, HI",700.0,1.75,24.0,0.06,91.0,0.2275,29.0,0.0725,0.0,0.0,556.0,1.39
"Newark, NJ->Albany, NY",700.0,28.0,0.0,0.0,246.0,9.84,50.0,2.0,0.0,0.0,404.0,16.16
"Minneapolis, MN->Billings, MT",700.0,11.475409836065573,110.0,1.8032786885245902,494.0,8.098360655737705,74.0,1.2131147540983607,0.0,0.0,22.0,0.36065573770491804
"Knoxville, TN->Newark, NJ",699.0,21.181818181818183,0.0,0.0,527.0,15.969696969696969,172.0,5.212121212121212,0.0,0.0,0.0,0.0
"Des Moines, IA->St. Louis, MO",699.0,12.051724137931034,142.0,2.4482758620689653,280.0,4.827586206896552,123.0,2.1206896551724137,0.0,0.0,154.0,2.6551724137931036
"Cleveland, OH->Baltimore, MD",698.0,8.022988505747126,66.0,0.7586206896551724,188.0,2.160919540229885,51.0,0.5862068965517241,0.0,0.0,393.0,4.517241379310345
"Orlando, FL->Albany, NY",698.0,6.462962962962963,0.0,0.0,429.0,3.9722222222222223,122.0,1.1296296296296295,0.0,0.0,147.0,1.3611111111111112
