TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N584AS,356.0,3.7872340425531914,0.0,0.0,207.0,2.202127659574468,72.0,0.7659574468085106,0.0,0.0,77.0,0.8191489361702128
N19136,356.0,6.033898305084746,20.0,0.3389830508474576,41.0,0.6949152542372882,295.0,5.0,0.0,0.0,0.0,0.0
N8694E,356.0,2.9421487603305785,12.0,0.09917355371900827,77.0,0.6363636363636364,170.0,1.4049586776859504,0.0,0.0,97.0,0.8016528925619835
N505AE,355.0,3.1981981981981984,111.0,1.0,68.0,0.6126126126126126,128.0,1.1531531531531531,0.0,0.0,48.0,0.43243243243243246
306NV,355.0,3.9444444444444446,0.0,0.0,186.0,2.066666666666667,67.0,0.7444444444444445,0.0,0.0,102.0,1.1333333333333333
N817AN,354.0,16.09090909090909,45.0,2.0454545454545454,61.0,2.772727272727273,75.0,3.409090909090909,0.0,0.0,173.0,7.863636363636363
N564AS,352.0,3.911111111111111,38.0,0.4222222222222222,71.0,0.7888888888888889,201.0,2.2333333333333334,0.0,0.0,42.0,0.4666666666666667
N327NB,352.0,5.176470588235294,0.0,0.0,59.0,0.8676470588235294,203.0,2.985294117647059,0.0,0.0,90.0,1.3235294117647058
N900PC,352.0,3.911111111111111,40.0,0.4444444444444444,71.0,0.7888888888888889,200.0,2.2222222222222223,0.0,0.0,41.0,0.45555555555555555
N8634A,350.0,2.7559055118110236,0.0,0.0,126.0,0.9921259842519685,117.0,0.9212598425196851,0.0,0.0,107.0,0.84251968503937
N107NN,350.0,6.862745098039215,4.0,0.0784313725490196,227.0,4.450980392156863,119.0,2.3333333333333335,0.0,0.0,0.0,0.0
N551AS,349.0,3.49,0.0,0.0,187.0,1.87,64.0,0.64,0.0,0.0,98.0,0.98
N907FJ,349.0,8.948717948717949,0.0,0.0,210.0,5.384615384615385,58.0,1.4871794871794872,0.0,0.0,81.0,2.076923076923077
N935WN,349.0,3.2616822429906542,20.0,0.18691588785046728,172.0,1.6074766355140186,25.0,0.2336448598130841,0.0,0.0,132.0,1.233644859813084
